Household_ID,State,Primary_Crop,Season,Land_Area_Hectares,Num_Crop_Types,Crop_Diversification_Index,Irrigation_Access,Irrigation_Type,Soil_Quality_Index,Input_Cost_INR,Household_Size,Farming_Experience_Years,Annual_Farm_Income_INR
HH0026,Bihar,Soybean,Kharif,0.27,1,0.0,1,Sprinkler,1,4973,3,1,16363
HH0027,Maharashtra,Pulses,Kharif,7.49,1,0.029,1,Canal,3,147163,5,15,285748
HH0028,Andhra Pradesh,Rice,Rabi,4.04,4,0.737,1,Canal,2,109539,4,31,169749
HH0029,Tamil Nadu,Vegetables,Kharif,0.96,2,0.46,0,None,2,12497,4,14,94040
HH0030,Uttar Pradesh,Vegetables,Kharif,0.53,1,0.0,1,Canal,1,15257,3,44,69849
HH0031,Tamil Nadu,Rice,Kharif,1.81,2,0.49,1,Sprinkler,2,45294,5,34,107191
HH0032,Maharashtra,Rice,Rabi,1.45,3,0.697,1,Sprinkler,2,30392,2,1,88766
HH0033,Uttar Pradesh,Wheat,Kharif,1.83,4,0.749,1,Tubewell,3,54329,6,35,152328
HH0034,Gujarat,Wheat,Kharif,1.59,1,0.0,1,Canal,2,35991,2,11,80367
HH0035,Gujarat,Millets,Rabi,2.08,1,0.0,1,Canal,1,54092,3,17,54471
HH0036,Bihar,Cotton,Rabi,4.62,5,0.824,1,Sprinkler,3,129606,5,5,280779
HH0037,Madhya Pradesh,Groundnut,Kharif,2.19,4,0.73,0,None,1,25173,7,17,77367
HH0038,Uttar Pradesh,Vegetables,Kharif,0.55,3,0.664,0,None,3,3760,7,18,95608
HH0039,Punjab,Cotton,Zaid,4.3,4,0.794,1,Tank,1,126033,3,25,168946
HH0040,Karnataka,Soybean,Kharif,5.44,2,0.515,0,None,2,59321,4,35,202597
HH0041,Uttar Pradesh,Rice,Kharif,15.0,4,0.701,0,None,1,200000,5,16,398474
HH0042,Andhra Pradesh,Cotton,Kharif,0.52,2,0.447,0,None,2,9865,2,23,51902
HH0043,Uttar Pradesh,Millets,Rabi,1.66,2,0.498,1,Canal,2,36157,5,40,76732
HH0044,West Bengal,Rice,Kharif,0.23,3,0.631,0,None,2,10777,5,21,39625
HH0045,Madhya Pradesh,Cotton,Kharif,2.16,2,0.519,1,Canal,1,37514,5,29,102806
HH0046,Punjab,Vegetables,Kharif,0.85,6,0.834,1,Tubewell,3,19515,7,36,163713
HH0047,Madhya Pradesh,Soybean,Kharif,6.92,2,0.505,1,Canal,3,164819,4,10,273264
HH0048,Andhra Pradesh,Soybean,Zaid,0.7,5,0.779,0,None,2,16380,5,20,52297
HH0049,Andhra Pradesh,Vegetables,Kharif,0.32,5,0.852,1,Sprinkler,2,6881,5,7,89892
HH0050,Maharashtra,Rice,Kharif,0.9,2,0.585,1,Tubewell,2,12849,5,30,92618
HH0051,Gujarat,Vegetables,Kharif,0.25,4,0.742,0,None,1,5611,5,29,53289
HH0052,Bihar,Pulses,Rabi,2.56,2,0.511,0,None,3,46839,7,1,119409
HH0053,Gujarat,Rice,Kharif,0.23,5,0.803,0,None,2,5855,6,21,67088
HH0054,West Bengal,Maize,Rabi,1.38,2,0.492,0,None,2,25522,5,7,54764
HH0055,Tamil Nadu,Cotton,Kharif,0.23,3,0.642,0,None,2,3000,5,44,68518
HH0056,Gujarat,Rice,Rabi,1.03,2,0.467,0,None,2,14502,5,4,61553
HH0057,Uttar Pradesh,Cotton,Kharif,5.46,2,0.466,1,Tubewell,3,72179,6,39,366087
HH0058,Maharashtra,Soybean,Kharif,1.83,1,0.012,1,Tubewell,2,37591,4,15,79598
HH0059,Uttar Pradesh,Pulses,Rabi,0.65,2,0.484,1,Tubewell,3,21747,5,34,88513
HH0060,Madhya Pradesh,Soybean,Kharif,1.31,4,0.673,1,Canal,2,34992,5,2,81278
HH0061,Rajasthan,Vegetables,Rabi,1.37,3,0.68,1,Drip,1,42842,5,37,110774
HH0062,Madhya Pradesh,Rice,Kharif,2.02,3,0.666,1,Drip,2,51777,4,3,105453
HH0063,Bihar,Wheat,Zaid,0.42,2,0.54,0,None,3,12871,5,4,38786
HH0064,Rajasthan,Millets,Kharif,2.23,2,0.511,0,None,2,27151,5,43,99315
HH0065,Madhya Pradesh,Pulses,Kharif,0.14,1,0.0,1,Tubewell,2,3000,4,36,40523
HH0066,Andhra Pradesh,Wheat,Kharif,0.79,4,0.683,1,Tubewell,2,21363,5,27,81810
HH0067,Maharashtra,Soybean,Kharif,0.89,6,0.811,0,None,2,17979,5,4,46686
HH0068,Bihar,Cotton,Kharif,2.31,2,0.481,0,None,3,28364,7,36,180494
HH0069,Uttar Pradesh,Sugarcane,Kharif,1.38,1,0.028,1,Canal,1,29966,3,19,98450
HH0070,Gujarat,Vegetables,Rabi,0.41,1,0.0,0,None,2,4614,2,34,59820
HH0071,Bihar,Groundnut,Rabi,0.58,3,0.701,0,None,2,7248,3,16,44558
HH0072,Maharashtra,Wheat,Kharif,1.6,3,0.627,1,Canal,2,36215,8,40,111159
HH0073,Uttar Pradesh,Wheat,Rabi,1.26,4,0.779,1,Tubewell,3,19503,6,22,139363
HH0074,Bihar,Wheat,Kharif,0.83,2,0.522,1,Tubewell,1,17607,5,32,61789
HH0075,Haryana,Vegetables,Rabi,0.9,4,0.689,1,Tubewell,1,19004,3,2,59279
HH0076,Haryana,Sugarcane,Kharif,2.44,3,0.707,1,Sprinkler,3,64841,4,17,218297
HH0077,Bihar,Millets,Kharif,0.87,2,0.503,1,Tubewell,2,9253,6,23,77940
HH0078,Uttar Pradesh,Vegetables,Rabi,1.25,3,0.679,0,None,3,23221,7,44,159554
HH0079,Rajasthan,Wheat,Kharif,8.54,1,0.0,0,None,3,93578,4,12,381839
HH0080,Uttar Pradesh,Vegetables,Rabi,0.4,2,0.538,1,Tubewell,2,15781,8,13,76401
HH0081,West Bengal,Sugarcane,Rabi,0.28,4,0.714,0,None,1,3974,3,10,23632
HH0082,Tamil Nadu,Wheat,Rabi,2.63,2,0.525,0,None,1,40365,4,4,83906
HH0083,Rajasthan,Cotton,Rabi,0.76,4,0.775,0,None,1,10073,6,7,48727
HH0084,Uttar Pradesh,Millets,Kharif,1.03,3,0.638,1,Canal,2,23932,5,2,46382
HH0085,Madhya Pradesh,Sugarcane,Rabi,0.69,1,0.06,0,None,3,8571,6,15,70115
HH0086,Madhya Pradesh,Groundnut,Kharif,1.08,3,0.674,1,Sprinkler,3,30472,7,36,105909
HH0087,Haryana,Sugarcane,Rabi,5.25,3,0.687,1,Tubewell,1,95262,5,9,232886
HH0088,Punjab,Cotton,Kharif,2.67,2,0.454,0,None,3,55008,4,24,192267
HH0089,West Bengal,Vegetables,Kharif,2.81,1,0.064,1,Canal,1,54224,5,6,120991
HH0090,Karnataka,Vegetables,Rabi,0.41,2,0.463,1,Tubewell,2,8652,5,7,78045
HH0091,Uttar Pradesh,Rice,Rabi,0.51,1,0.031,0,None,1,8374,6,16,42202
HH0092,Haryana,Wheat,Zaid,0.12,1,0.0,1,Tubewell,1,3000,5,17,15000
HH0093,Bihar,Sugarcane,Kharif,0.68,2,0.481,1,Sprinkler,3,17865,6,30,135023
HH0094,Tamil Nadu,Wheat,Kharif,3.04,2,0.524,1,Tank,2,72058,7,8,146101
HH0095,Bihar,Vegetables,Zaid,2.09,5,0.831,0,None,2,44184,6,3,132003
HH0096,Andhra Pradesh,Rice,Kharif,1.12,2,0.462,1,Tubewell,2,18748,6,25,72675
HH0097,Andhra Pradesh,Vegetables,Rabi,1.32,4,0.783,1,Drip,1,22717,5,29,121573
HH0098,Karnataka,Maize,Rabi,0.75,3,0.698,1,Canal,3,14127,5,21,103181
HH0099,Uttar Pradesh,Wheat,Rabi,1.61,3,0.639,0,None,3,34278,8,6,106874
HH0100,Uttar Pradesh,Cotton,Rabi,2.59,2,0.548,1,Tubewell,1,62767,5,23,109400
HH0101,Uttar Pradesh,Wheat,Rabi,0.34,5,0.756,1,Drip,2,3000,6,11,86649
HH0102,Punjab,Wheat,Kharif,1.74,3,0.648,0,None,2,13954,5,6,97562
HH0103,Madhya Pradesh,Groundnut,Zaid,2.98,4,0.764,0,None,2,50309,5,27,134853
HH0104,Andhra Pradesh,Cotton,Kharif,0.95,2,0.474,1,Tubewell,2,22975,5,27,104564
HH0105,West Bengal,Soybean,Kharif,2.45,1,0.008,0,None,2,37551,6,13,93794
HH0106,Madhya Pradesh,Sugarcane,Rabi,14.77,3,0.674,1,Tubewell,3,200000,5,9,600000
HH0107,Karnataka,Rice,Rabi,1.24,1,0.0,0,None,2,15726,4,8,52195
HH0108,Bihar,Sugarcane,Rabi,1.89,2,0.525,0,None,2,20005,4,27,119169
HH0109,Maharashtra,Groundnut,Kharif,0.72,1,0.0,1,Tank,2,18365,5,32,55673
HH0110,Uttar Pradesh,Wheat,Rabi,1.57,3,0.674,0,None,2,35331,4,29,104452
HH0111,Madhya Pradesh,Soybean,Rabi,2.0,6,0.867,1,Canal,2,77614,4,33,95185
HH0112,Maharashtra,Wheat,Rabi,1.59,2,0.524,1,Canal,2,32357,6,5,93306
HH0113,Gujarat,Rice,Kharif,0.57,4,0.774,1,Drip,2,12501,8,38,72401
HH0114,Bihar,Cotton,Rabi,1.61,3,0.633,1,Sprinkler,2,40625,5,9,122734
HH0115,Punjab,Cotton,Rabi,4.68,2,0.516,1,Sprinkler,1,118067,3,13,169148
HH0116,West Bengal,Groundnut,Zaid,1.98,5,0.774,0,None,2,25672,5,33,104842
HH0117,Bihar,Sugarcane,Kharif,3.06,4,0.712,1,Tubewell,3,87707,5,30,254137
HH0118,Maharashtra,Rice,Kharif,1.1,4,0.748,0,None,3,19096,4,25,99271
HH0119,West Bengal,Soybean,Kharif,2.55,2,0.473,0,None,3,43945,4,6,136366
HH0120,Andhra Pradesh,Sugarcane,Kharif,1.71,3,0.691,1,Sprinkler,2,40750,4,39,145211
HH0121,Bihar,Wheat,Kharif,0.6,2,0.524,1,Drip,1,15798,5,10,46365
HH0122,West Bengal,Vegetables,Rabi,1.77,2,0.443,0,None,2,35835,4,36,120763
HH0123,Madhya Pradesh,Rice,Rabi,0.58,2,0.475,0,None,1,3000,4,19,31241
HH0124,Uttar Pradesh,Pulses,Kharif,0.79,4,0.706,1,Canal,3,12187,6,11,98656
HH0125,Maharashtra,Wheat,Kharif,1.59,4,0.736,0,None,2,20719,6,17,101001
HH0126,Karnataka,Sugarcane,Kharif,1.74,2,0.514,1,Drip,3,44454,3,2,171191
HH0127,Bihar,Pulses,Kharif,0.49,1,0.0,1,Canal,3,6611,4,7,52288
HH0128,West Bengal,Groundnut,Rabi,3.31,4,0.732,0,None,3,58746,5,41,194277
HH0129,Uttar Pradesh,Rice,Kharif,2.2,1,0.039,0,None,3,34428,3,31,116641
HH0130,Andhra Pradesh,Maize,Rabi,0.74,3,0.598,1,Canal,2,17717,5,31,81991
HH0131,Karnataka,Wheat,Kharif,0.37,1,0.037,0,None,2,4076,4,17,51655
HH0132,Maharashtra,Sugarcane,Rabi,1.19,2,0.484,0,None,2,16084,4,15,94708
HH0133,Uttar Pradesh,Groundnut,Rabi,0.92,6,0.831,0,None,1,19232,4,7,45899
HH0134,Rajasthan,Sugarcane,Kharif,1.49,1,0.0,0,None,1,16474,4,30,70044
HH0135,Gujarat,Rice,Rabi,0.99,2,0.546,0,None,1,15853,6,39,61132
HH0136,Madhya Pradesh,Maize,Kharif,0.25,2,0.463,1,Tubewell,3,3000,6,14,71199
HH0137,Andhra Pradesh,Rice,Kharif,0.97,5,0.8,1,Tubewell,1,15344,7,31,60732
HH0138,Haryana,Cotton,Rabi,1.04,4,0.766,1,Tubewell,3,34756,5,9,124141
HH0139,Rajasthan,Sugarcane,Rabi,2.31,2,0.452,1,Canal,1,56166,5,9,134394
HH0140,Gujarat,Soybean,Rabi,0.75,1,0.0,0,None,3,9122,4,2,44847
HH0141,Gujarat,Sugarcane,Kharif,5.62,3,0.663,0,None,2,59187,5,44,316825
HH0142,Madhya Pradesh,Rice,Kharif,0.27,2,0.473,1,Tubewell,2,3000,7,22,61278
HH0143,Andhra Pradesh,Pulses,Kharif,4.11,3,0.643,1,Canal,2,105684,3,16,138086
HH0144,Madhya Pradesh,Soybean,Kharif,1.12,1,0.0,1,Tubewell,3,26386,5,2,75563
HH0145,Madhya Pradesh,Wheat,Kharif,2.8,1,0.019,1,Drip,1,45384,3,15,101159
HH0146,Uttar Pradesh,Millets,Rabi,1.44,3,0.657,1,Sprinkler,3,28336,6,6,99321
HH0147,Tamil Nadu,Pulses,Rabi,3.56,2,0.532,0,None,2,42514,5,23,132513
HH0148,Andhra Pradesh,Rice,Rabi,0.97,4,0.72,1,Sprinkler,1,15011,6,28,63266
HH0149,Uttar Pradesh,Soybean,Rabi,0.53,1,0.0,1,Tubewell,1,13924,3,43,28359
HH0150,Madhya Pradesh,Maize,Kharif,4.52,2,0.558,1,Drip,3,82085,7,17,236871
HH0151,West Bengal,Wheat,Kharif,1.23,6,0.813,1,Tubewell,1,35934,3,36,91411
HH0152,Maharashtra,Wheat,Kharif,1.63,2,0.461,1,Canal,3,43907,4,19,126741
HH0153,Maharashtra,Maize,Kharif,3.86,3,0.615,1,Drip,1,63918,3,5,124999
HH0154,Karnataka,Wheat,Rabi,0.56,1,0.032,1,Tubewell,2,7329,3,23,60169
HH0155,Gujarat,Vegetables,Rabi,2.24,3,0.657,1,Sprinkler,2,33327,4,44,177085
HH0156,Madhya Pradesh,Rice,Rabi,0.82,3,0.659,1,Tubewell,2,15269,5,19,79295
HH0157,Punjab,Pulses,Kharif,1.21,2,0.495,1,Canal,2,28104,6,1,68854
HH0158,Bihar,Vegetables,Zaid,1.44,4,0.78,0,None,3,24598,7,27,162852
HH0159,Maharashtra,Groundnut,Kharif,0.38,3,0.662,1,Sprinkler,3,8195,5,43,98345
HH0160,Haryana,Wheat,Zaid,0.7,2,0.57,1,Tubewell,2,12868,3,25,92914
HH0161,Rajasthan,Groundnut,Rabi,4.26,3,0.671,1,Sprinkler,2,72698,3,6,175723
HH0162,Punjab,Cotton,Kharif,2.87,3,0.699,0,None,2,43196,5,36,163208
HH0163,Punjab,Soybean,Kharif,1.28,1,0.024,1,Drip,3,22311,6,17,105231
HH0164,Andhra Pradesh,Wheat,Zaid,1.66,2,0.499,0,None,3,20774,5,12,122143
HH0165,Uttar Pradesh,Vegetables,Rabi,1.05,2,0.482,1,Tubewell,1,27650,5,25,83461
HH0166,West Bengal,Rice,Kharif,4.28,2,0.51,0,None,2,69354,2,10,160374
HH0167,Madhya Pradesh,Soybean,Rabi,1.14,4,0.765,1,Canal,3,23830,4,39,121900
HH0168,Maharashtra,Vegetables,Rabi,1.64,2,0.483,0,None,1,27380,5,24,87256
HH0169,Uttar Pradesh,Soybean,Kharif,3.58,5,0.805,0,None,3,93972,5,11,157228
HH0170,Tamil Nadu,Wheat,Kharif,0.7,2,0.537,1,Canal,2,13563,2,24,96820
HH0171,Punjab,Wheat,Kharif,5.08,2,0.562,0,None,1,58756,4,3,151939
HH0172,Uttar Pradesh,Sugarcane,Kharif,0.37,4,0.776,1,Canal,2,12821,7,40,110027
HH0173,Andhra Pradesh,Wheat,Kharif,5.39,3,0.723,1,Canal,2,130353,5,20,216379
HH0174,Maharashtra,Rice,Kharif,0.98,3,0.648,1,Tubewell,3,14235,6,23,90964
HH0175,Punjab,Rice,Kharif,1.1,1,0.021,0,None,2,19895,4,5,46560
HH0176,Maharashtra,Groundnut,Kharif,0.27,2,0.54,1,Tank,2,3000,5,36,65165
HH0177,Haryana,Rice,Zaid,0.92,2,0.473,0,None,3,20873,4,13,68121
HH0178,Rajasthan,Pulses,Rabi,0.56,6,0.818,1,Sprinkler,1,8346,4,36,48684
HH0179,Gujarat,Sugarcane,Kharif,0.81,2,0.552,1,Drip,2,24752,4,6,109719
HH0180,Uttar Pradesh,Groundnut,Rabi,1.2,4,0.721,0,None,2,16986,5,2,58668
HH0181,Rajasthan,Rice,Kharif,3.05,3,0.627,0,None,1,44252,4,29,100468
HH0182,Uttar Pradesh,Pulses,Rabi,1.61,2,0.546,0,None,1,33142,4,5,42545
HH0183,Gujarat,Rice,Rabi,1.75,3,0.703,1,Canal,2,27200,5,15,99126
HH0184,West Bengal,Rice,Kharif,0.53,4,0.763,0,None,1,11162,4,8,41130
HH0185,Madhya Pradesh,Rice,Zaid,0.64,4,0.749,1,Tubewell,2,15718,4,34,84132
HH0186,Punjab,Rice,Rabi,6.23,1,0.0,1,Drip,2,160108,6,37,205865
HH0187,Bihar,Sugarcane,Kharif,0.72,2,0.508,1,Canal,2,10673,6,26,99002
HH0188,Andhra Pradesh,Vegetables,Zaid,5.52,2,0.547,1,Sprinkler,2,131231,7,9,285564
HH0189,Andhra Pradesh,Wheat,Rabi,1.1,1,0.007,0,None,2,8143,5,8,57292
HH0190,Madhya Pradesh,Groundnut,Zaid,1.35,3,0.732,1,Tank,1,27318,4,14,68974
HH0191,Uttar Pradesh,Vegetables,Kharif,3.35,4,0.723,1,Tubewell,1,97497,6,25,165732
HH0192,West Bengal,Pulses,Zaid,3.98,2,0.499,1,Drip,2,98296,4,34,156952
HH0193,West Bengal,Rice,Rabi,1.23,3,0.656,0,None,3,12983,5,3,86058
HH0194,Punjab,Rice,Rabi,0.97,3,0.634,0,None,1,13899,4,32,69350
HH0195,Rajasthan,Rice,Kharif,1.29,2,0.495,0,None,2,17358,5,36,76875
HH0196,Rajasthan,Cotton,Kharif,1.8,1,0.013,0,None,3,17028,6,5,116397
HH0197,Haryana,Sugarcane,Kharif,2.88,3,0.683,0,None,3,43314,5,15,230021
HH0198,West Bengal,Sugarcane,Kharif,1.35,4,0.815,1,Canal,3,37044,5,28,182540
HH0199,West Bengal,Wheat,Kharif,2.28,3,0.681,1,Drip,1,44692,8,18,96960
HH0200,Bihar,Soybean,Kharif,5.43,1,0.035,1,Canal,1,96264,2,11,125199
HH0201,Punjab,Wheat,Zaid,1.87,2,0.502,1,Canal,2,50914,4,10,87866
HH0202,Uttar Pradesh,Cotton,Rabi,1.76,1,0.05,0,None,1,16110,7,4,57318
HH0203,Maharashtra,Rice,Rabi,0.37,3,0.739,1,Drip,2,8565,5,20,67454
HH0204,West Bengal,Maize,Rabi,0.14,4,0.766,1,Drip,3,3305,5,5,65391
HH0205,Tamil Nadu,Soybean,Rabi,1.88,1,0.0,1,Tubewell,2,43514,5,1,73773
HH0206,Uttar Pradesh,Groundnut,Kharif,1.25,4,0.734,1,Tubewell,1,35817,4,13,61052
HH0207,Uttar Pradesh,Pulses,Rabi,0.87,3,0.675,0,None,1,12549,3,22,50417
HH0208,Punjab,Groundnut,Rabi,1.66,3,0.681,1,Drip,3,23704,4,13,139499
HH0209,Uttar Pradesh,Wheat,Kharif,1.28,6,0.854,0,None,2,22806,4,15,77915
HH0210,Maharashtra,Wheat,Kharif,3.52,1,0.014,0,None,3,63199,5,9,159922
HH0211,Andhra Pradesh,Pulses,Kharif,1.45,5,0.8,0,None,3,21749,4,3,83518
HH0212,Haryana,Vegetables,Rabi,0.72,1,0.0,1,Drip,3,6529,5,2,93817
HH0213,Punjab,Vegetables,Kharif,3.13,2,0.512,0,None,3,60293,4,12,225089
HH0214,Maharashtra,Groundnut,Rabi,1.12,4,0.806,1,Tank,2,24492,4,24,99352
HH0215,Haryana,Wheat,Kharif,2.11,5,0.831,0,None,3,41285,4,18,140760
HH0216,Maharashtra,Vegetables,Rabi,0.9,3,0.683,1,Tank,2,28600,5,36,107342
HH0217,Madhya Pradesh,Rice,Zaid,0.78,3,0.698,1,Sprinkler,1,24101,4,25,56878
HH0218,Bihar,Cotton,Rabi,1.45,3,0.656,0,None,1,37784,5,15,65116
HH0219,Punjab,Cotton,Rabi,1.36,4,0.735,0,None,2,29254,4,1,86355
HH0220,West Bengal,Maize,Kharif,2.03,1,0.0,1,Drip,1,39859,4,8,70123
HH0221,Punjab,Sugarcane,Rabi,1.07,4,0.746,0,None,1,27727,6,37,87776
HH0222,Tamil Nadu,Sugarcane,Rabi,0.28,2,0.487,1,Tubewell,2,3000,4,7,94895
HH0223,Uttar Pradesh,Maize,Rabi,0.93,2,0.536,1,Canal,3,22865,8,35,95211
HH0224,Rajasthan,Cotton,Rabi,2.65,2,0.486,0,None,2,49398,8,38,159212
HH0225,Madhya Pradesh,Wheat,Kharif,1.05,3,0.643,0,None,2,15578,5,16,68823
HH0226,Madhya Pradesh,Soybean,Rabi,1.09,5,0.858,1,Canal,1,14790,5,17,61680
HH0227,Gujarat,Vegetables,Kharif,3.12,3,0.653,0,None,1,48674,6,38,165208
HH0228,Rajasthan,Sugarcane,Kharif,0.74,5,0.805,0,None,2,17628,6,30,105675
HH0229,West Bengal,Soybean,Rabi,0.36,1,0.014,0,None,3,9127,6,37,45400
HH0230,Punjab,Maize,Kharif,1.18,3,0.633,0,None,2,19690,3,18,60669
HH0231,Bihar,Rice,Rabi,0.89,4,0.787,0,None,2,18682,2,36,57436
HH0232,Andhra Pradesh,Cotton,Rabi,0.59,3,0.686,1,Sprinkler,3,9258,4,12,124268
HH0233,Tamil Nadu,Rice,Rabi,1.16,3,0.714,1,Sprinkler,1,20657,4,28,55134
HH0234,Andhra Pradesh,Soybean,Zaid,2.05,3,0.647,1,Tubewell,2,31998,4,11,106361
HH0235,Maharashtra,Sugarcane,Rabi,1.34,4,0.753,0,None,3,24928,5,43,153270
HH0236,Haryana,Rice,Zaid,1.75,4,0.751,0,None,2,37076,5,6,93366
HH0237,Madhya Pradesh,Maize,Rabi,6.31,1,0.008,1,Tubewell,1,143697,6,26,165928
HH0238,Uttar Pradesh,Pulses,Rabi,1.01,4,0.706,1,Canal,1,18989,4,16,42962
HH0239,Punjab,Cotton,Kharif,1.71,2,0.503,0,None,2,15029,3,38,121553
HH0240,Maharashtra,Millets,Rabi,0.88,2,0.457,0,None,2,10612,5,9,47040
HH0241,Gujarat,Millets,Rabi,0.66,4,0.761,1,Tubewell,3,21490,5,18,76034
HH0242,Gujarat,Vegetables,Rabi,0.82,2,0.436,1,Tubewell,1,22079,5,33,73057
HH0243,Gujarat,Vegetables,Rabi,0.9,4,0.694,0,None,1,21796,4,19,74342
HH0244,Rajasthan,Cotton,Rabi,1.83,2,0.525,1,Tubewell,2,21938,6,9,128448
HH0245,Uttar Pradesh,Cotton,Kharif,9.94,1,0.0,1,Tank,3,200000,5,44,557520
HH0246,Gujarat,Millets,Rabi,0.73,2,0.47,1,Canal,3,14753,5,42,80780
HH0247,Karnataka,Cotton,Rabi,0.95,1,0.038,1,Tubewell,3,12173,2,9,111754
HH0248,Gujarat,Rice,Kharif,1.28,4,0.76,0,None,2,26206,6,44,92170
HH0249,Gujarat,Rice,Zaid,1.89,2,0.526,1,Tubewell,3,49260,4,5,119010
HH0250,West Bengal,Groundnut,Rabi,1.69,2,0.495,1,Tank,3,36914,3,23,114301
HH0251,Madhya Pradesh,Cotton,Kharif,4.02,1,0.08,1,Sprinkler,2,82515,6,42,203870
HH0252,Rajasthan,Wheat,Kharif,0.17,2,0.482,1,Tubewell,3,7049,5,34,73017
HH0253,West Bengal,Vegetables,Rabi,0.18,4,0.802,1,Tank,3,6004,2,38,129433
HH0254,Madhya Pradesh,Sugarcane,Kharif,0.89,1,0.0,0,None,3,4863,6,22,90634
HH0255,Maharashtra,Maize,Kharif,3.43,3,0.617,0,None,3,59365,5,5,170216
HH0256,Andhra Pradesh,Rice,Kharif,0.36,5,0.814,1,Tubewell,3,10577,6,1,83952
HH0257,Gujarat,Wheat,Rabi,0.1,3,0.676,0,None,3,3000,6,26,57716
HH0258,Haryana,Rice,Rabi,2.19,4,0.718,0,None,2,30126,3,18,106009
HH0259,Tamil Nadu,Sugarcane,Kharif,1.66,1,0.0,0,None,3,19026,5,26,127062
HH0260,Uttar Pradesh,Vegetables,Rabi,0.53,2,0.499,1,Canal,1,14307,4,15,61631
HH0261,Tamil Nadu,Groundnut,Zaid,0.58,4,0.76,0,None,3,5662,5,2,68309
HH0262,Gujarat,Wheat,Rabi,0.59,3,0.593,1,Tubewell,3,6313,3,15,92707
HH0263,Maharashtra,Vegetables,Kharif,1.48,3,0.699,0,None,3,35351,5,11,130331
HH0264,Andhra Pradesh,Rice,Rabi,0.79,3,0.652,0,None,3,18539,6,20,84985
HH0265,West Bengal,Rice,Kharif,2.05,2,0.46,0,None,2,36032,8,42,93593
HH0266,Bihar,Vegetables,Rabi,0.12,1,0.028,0,None,2,3000,4,17,33858
HH0267,Haryana,Wheat,Kharif,0.65,4,0.749,1,Canal,1,13575,3,5,63331
HH0268,Haryana,Groundnut,Rabi,0.52,3,0.703,1,Tubewell,1,13370,4,33,60580
HH0269,Rajasthan,Rice,Kharif,1.09,2,0.513,1,Tank,2,21848,2,44,83030
HH0270,Madhya Pradesh,Rice,Rabi,0.85,4,0.75,0,None,2,18757,4,25,65334
HH0271,Bihar,Maize,Kharif,2.66,2,0.495,1,Sprinkler,1,65049,7,7,88773
HH0272,Bihar,Wheat,Rabi,0.28,2,0.514,0,None,1,3894,4,34,33339
